"","Edu.mere","Prof.mere","Edu.pere","Prof.pere","Temps.revision","Adresse","Internet","Cours.parti","Taille.famille","Cohab.parent","Age"
"392","M.Lycee","M.Public","P.Ecole primaire","P.Public","<2h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"255","M.College","M.Autre profession","P.Ecole primaire","P.Autre profession","<2h","Rural","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"188","M.College","M.Autre profession","P.Ecole primaire","P.Autre profession","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"347","M.Etude superieure","M.Enseignant","P.Lycee","P.Public","5-10h","Rural","Internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"49","M.Etude superieure","M.Enseignant","P.College","P.Autre profession","2-5h","Urbain","Pas internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"345","M.College","M.Sans travail","P.Lycee","P.Autre profession","5-10h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"284","M.Ecole primaire","M.Autre profession","P.Ecole primaire","P.Autre profession","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"374","M.Ecole primaire","M.Autre profession","P.College","P.Autre profession","<2h","Rural","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"205","M.College","M.Public","P.College","P.Public",">10h","Rural","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"300","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Enseignant","<2h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble",">=18 ans"
"233","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Enseignant","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"307","M.Lycee","M.Public","P.College","P.Autre profession","<2h","Urbain","Pas internet","Pas cours. p",">3 pers.","Séparé",">=18 ans"
"31","M.Etude superieure","M.Sante","P.Etude superieure","P.Public","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"230","M.College","M.Autre profession","P.Ecole primaire","P.Autre profession","5-10h","Urbain","Internet","Pas cours. p",">3 pers.","Séparé","<18 ans"
"333","M.Lycee","M.Public","P.Lycee","P.Public","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"75","M.Lycee","M.Autre profession","P.Lycee","P.Public","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"185","M.Lycee","M.Autre profession","P.College","P.Autre profession","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"46","M.Etude superieure","M.Autre profession","P.Lycee","P.Autre profession","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Séparé","<18 ans"
"384","M.Ecole primaire","M.Autre profession","P.Ecole primaire","P.Public","<2h","Rural","Pas internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"60","M.Etude superieure","M.Public","P.College","P.Autre profession","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"318","M.Etude superieure","M.Autre profession","P.Lycee","P.Autre profession","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"373","M.College","M.Autre profession","P.College","P.Sans travail","5-10h","Urbain","Pas internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"311","M.Ecole primaire","M.Public","P.College","P.Public","2-5h","Urbain","Pas internet","Pas cours. p","<=3 pers.","Ensemble",">=18 ans"
"114","M.Etude superieure","M.Enseignant","P.College","P.Autre profession","<2h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"278","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Public","<2h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
